Concentration,experiment,intensity_mz126_11,StN
10,a,8,1.005
10,a,9,1.131
10,a,8,1.005
10,a,5,0.628
10,a,4,0.503
10,a,12,1.508
10,a,15,1.884
10,a,10,1.256
10,a,10,1.256
10,a,7,0.879
10,a,10,1.256
10,b,1,1.163
10,b,3,3.488
10,b,0,0.000
10,b,3,3.488
10,b,4,4.651
10,b,2,2.326
10,b,2,2.326
10,b,1,1.163
10,b,0,0.000
10,b,2,2.326
10,b,1,1.163
10,c,2,2.985
10,c,4,5.970
10,c,3,4.478
10,c,1,1.493
10,c,1,1.493
10,c,7,10.448
10,c,5,7.463
10,c,4,5.970
10,c,1,1.493
10,c,2,2.985
10,c,0,0.000
50,a,20,18.349
50,a,10,9.174
50,a,6,5.505
50,a,9,8.257
50,a,17,15.596
50,a,13,11.927
50,a,13,11.927
50,a,5,4.587
50,a,20,18.349
50,a,5,4.587
50,a,14,12.844
50,b,6,6.818
50,b,12,13.636
50,b,9,10.227
50,b,9,10.227
50,b,5,5.682
50,b,17,19.318
50,b,15,17.045
50,b,17,19.318
50,b,12,13.636
50,b,14,15.909
50,b,12,13.636
50,c,6,5.825
50,c,2,1.942
50,c,11,10.680
50,c,19,18.447
50,c,8,7.767
50,c,20,19.417
50,c,7,6.796
50,c,6,5.825
50,c,11,10.680
50,c,8,7.767
50,c,10,9.709
100,a,24,19.835
100,a,11,9.091
100,a,18,14.876
100,a,17,14.050
100,a,15,12.397
100,a,17,14.050
100,a,19,15.702
100,a,23,19.008
100,a,22,18.182
100,a,19,15.702
100,a,20,16.529
100,b,20,19.048
100,b,27,25.714
100,b,27,25.714
100,b,16,15.238
100,b,16,15.238
100,b,19,18.095
100,b,23,21.905
100,b,10,9.524
100,b,19,18.095
100,b,21,20.000
100,b,25,23.810
100,c,19,11.310
100,c,16,9.524
100,c,24,14.286
100,c,21,12.500
100,c,26,15.476
100,c,33,19.643
100,c,28,16.667
100,c,26,15.476
100,c,24,14.286
100,c,35,20.833
100,c,18,10.714
500,a,164,42.051
500,a,177,45.385
500,a,119,30.513
500,a,117,30.000
500,a,158,40.513
500,a,156,40.000
500,a,148,37.949
500,a,127,32.564
500,a,161,41.282
500,a,171,43.846
500,a,140,35.897
500,b,162,37.762
500,b,164,38.228
500,b,123,28.671
500,b,144,33.566
500,b,141,32.867
500,b,157,36.597
500,b,101,23.543
500,b,172,40.093
500,b,128,29.837
500,b,111,25.874
500,b,161,37.529
500,c,121,39.542
500,c,135,44.118
500,c,82,26.797
500,c,147,48.039
500,c,126,41.176
500,c,129,42.157
500,c,125,40.850
500,c,118,38.562
500,c,128,41.830
500,c,125,40.850
500,c,140,45.752
