Concentration,experiment,intensity_mz126_11,StN
1,a,2,3.8462
1,a,2,3.8462
1,a,3,5.7692
1,a,2,3.8462
1,a,0,0.0000
1,a,3,5.7692
1,a,5,9.6154
1,a,2,3.8462
1,a,2,3.8462
1,a,1,1.9231
1,a,2,3.8462
1,b,1,2.0833
1,b,3,6.2500
1,b,4,8.3333
1,b,1,2.0833
1,b,2,4.1667
1,b,4,8.3333
1,b,2,4.1667
1,b,1,2.0833
1,b,1,2.0833
1,b,2,4.1667
1,b,7,14.5833
1,c,0,0.0000
1,c,2,4.6512
1,c,2,4.6512
1,c,7,16.2791
1,c,5,11.6279
1,c,2,4.6512
1,c,3,6.9767
1,c,3,6.9767
1,c,5,11.6279
1,c,1,2.3256
1,c,4,9.3023
10,a,17,39.5349
10,a,19,44.1860
10,a,19,44.1860
10,a,26,60.4651
10,a,22,51.1628
10,a,18,41.8605
10,a,22,51.1628
10,a,35,81.3953
10,a,21,48.8372
10,a,26,60.4651
10,a,28,65.1163
10,b,20,31.2500
10,b,46,71.8750
10,b,21,32.8125
10,b,21,32.8125
10,b,36,56.2500
10,b,30,46.8750
10,b,18,28.1250
10,b,35,54.6875
10,b,26,40.6250
10,b,42,65.6250
10,b,29,45.3125
10,c,31,81.5789
10,c,23,60.5263
10,c,22,57.8947
10,c,10,26.3158
10,c,34,89.4737
10,c,22,57.8947
10,c,23,60.5263
10,c,40,105.2632
10,c,23,60.5263
10,c,10,26.3158
10,c,21,55.2632
50,a,113,301.3333
50,a,222,592.0000
50,a,53,141.3333
50,a,103,274.6667
50,a,154,410.6667
50,a,85,226.6667
50,a,70,186.6667
50,a,83,221.3333
50,a,106,282.6667
50,a,121,322.6667
50,a,155,413.3333
50,b,127,705.5556
50,b,119,661.1111
50,b,116,644.4444
50,b,97,538.8889
50,b,91,505.5556
50,b,136,755.5556
50,b,128,711.1111
50,b,123,683.3333
50,b,123,683.3333
50,b,124,688.8889
50,b,183,1016.6667
50,c,88,244.4444
50,c,91,252.7778
50,c,92,255.5556
50,c,87,241.6667
50,c,97,269.4444
50,c,284,788.8889
50,c,120,333.3333
50,c,106,294.4444
50,c,130,361.1111
50,c,108,300.0000
50,c,156,433.3333
100,a,305,455.2239
100,a,346,516.4179
100,a,276,411.9403
100,a,300,447.7612
100,a,483,720.8955
100,a,234,349.2537
100,a,220,328.3582
100,a,482,719.4030
100,a,340,507.4627
100,a,247,368.6567
100,a,304,453.7313
100,b,205,436.1702
100,b,229,487.2340
100,b,138,293.6170
100,b,232,493.6170
100,b,204,434.0426
100,b,161,342.5532
100,b,156,331.9149
100,b,210,446.8085
100,b,176,374.4681
100,b,485,1031.9149
100,b,211,448.9362
100,c,152,214.0845
100,c,155,218.3099
100,c,191,269.0141
100,c,247,347.8873
100,c,206,290.1408
100,c,181,254.9296
100,c,197,277.4648
100,c,214,301.4085
100,c,176,247.8873
100,c,237,333.8028
100,c,954,1343.6620
500,a,522,1044.0000
500,a,599,1198.0000
500,a,947,1894.0000
500,a,646,1292.0000
500,a,898,1796.0000
500,a,1329,2658.0000
500,a,542,1084.0000
500,a,884,1768.0000
500,a,731,1462.0000
500,a,1691,3382.0000
500,a,1019,2038.0000
500,b,517,689.3333
500,b,1173,1564.0000
500,b,431,574.6667
500,b,525,700.0000
500,b,763,1017.3333
500,b,516,688.0000
500,b,702,936.0000
500,b,1441,1921.3333
500,b,1234,1645.3333
500,b,604,805.3333
500,b,577,769.3333
500,c,1351,1468.4783
500,c,1179,1281.5217
500,c,617,670.6522
500,c,888,965.2174
500,c,756,821.7391
500,c,1432,1556.5217
500,c,1222,1328.2609
500,c,2798,3041.3043
500,c,1151,1251.0870
500,c,813,883.6957
500,c,797,866.3043
